;	몹의 잡담							
#Ignore	\o042		; 인용부호 무시					
#RecordIn	ATTACK	Lips	10	0	Who are you? You're not the one I love!	-	-	-
#RecordIn	DAMAGED	Lips	10	0	"It's me, the love of your life!"	-	-	-
#RecordIn	DEAD	Lips	10	0	-	-	-	-
#RecordIn	PIECE	Incubus	7800000	8800000	Whose dreams shall I play in today?	-	-	-
#RecordIn	ATTACK	Incubus	10	0	I can make you dream anything I want!	-	-	-
#RecordIn	DAMAGED	Incubus	10	0	"Don't waste your time, it'll just make us both tired."	-	-	-
#RecordIn	DEAD	Incubus	10	0	-	-	-	-
#RecordIn	PIECE	Greenky	7800000	8800000	-	It won't be so easy to find me in the bushes.	-	-
#RecordIn	ATTACK	Greenky	10	0	-	-	-	-
#RecordIn	DAMAGED	Greenky	10	0	-	-	-	-
#RecordIn	DEAD	Greenky	10	0	-	-	-	-
#RecordIn	PIECE	Archon	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	Archon	10	0	-	-	-	-
#RecordIn	DAMAGED	Archon	10	0	-	-	-	-
#RecordIn	DEAD	Archon	10	0	-	-	-	-
#RecordIn	PIECE	NaiadSoul	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	NaiadSoul	10	0	-	-	-	-
#RecordIn	DAMAGED	NaiadSoul	10	0	-	-	-	-
#RecordIn	DEAD	NaiadSoul	10	0	-	-	-	-
#RecordIn	PIECE	Stonie	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	Stonie	10	0	-	-	-	-
#RecordIn	DAMAGED	Stonie	10	0	"No matter how sharp your sword, you cannot hurt me."	-	-	-
#RecordIn	DEAD	Stonie	10	0	-	-	-	-
#RecordIn	PIECE	CloverTrumpy	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	CloverTrumpy	10	0	My sword will show no mercy.	-	-	-
#RecordIn	DAMAGED	CloverTrumpy	10	0	-	-	-	-
#RecordIn	DEAD	CloverTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	RatmanKnight	7800000	8800000	"I like this red armor, but it's a bit heavy."	-	-	-
#RecordIn	ATTACK	RatmanKnight	10	0	-	-	-	-
#RecordIn	DAMAGED	RatmanKnight	10	0	-	-	-	-
#RecordIn	DEAD	RatmanKnight	10	0	-	-	-	-
#RecordIn	PIECE	LizardMan	7800000	8800000	Once I walked on four legs...how am I walking on two legs now?	-	-	-
#RecordIn	ATTACK	LizardMan	10	0	haha...Die!...haha...who are you?	-	-	-
#RecordIn	DAMAGED	LizardMan	10	0	-	-	-	-
#RecordIn	DEAD	LizardMan	10	0	-	-	-	-
#RecordIn	PIECE	SparkDog	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	SparkDog	10	0	-	-	-	-
#RecordIn	DAMAGED	SparkDog	10	0	-	-	-	-
#RecordIn	DEAD	SparkDog	10	0	-	-	-	-
#RecordIn	PIECE	JewelKeeper	7800000	8800000	I can feel it...can feel it.	-	-	-
#RecordIn	ATTACK	JewelKeeper	10	0	I think I can get what I want from you.	-	-	-
#RecordIn	DAMAGED	JewelKeeper	10	0	-	-	-	-
#RecordIn	DEAD	JewelKeeper	10	0	My jewels...	-	-	-
#RecordIn	PIECE	ElvenTree	7800000	8800000	"A long, long time ago the Elf tribe lived here."	-	-	-
#RecordIn	ATTACK	ElvenTree	10	0	I can't forgive anyone who interrupts my peace. You shall perish!	-	-	-
#RecordIn	DAMAGED	ElvenTree	10	0	-	-	-	-
#RecordIn	DEAD	ElvenTree	10	0	-	-	-	-
#RecordIn	PIECE	HeartTrumpy	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	HeartTrumpy	10	0	-	-	-	-
#RecordIn	DAMAGED	HeartTrumpy	10	0	You are just wasting your energy attacking me...foolish one!	-	-	-
#RecordIn	DEAD	HeartTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	ElfKnightSoul	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	ElfKnightSoul	10	0	-	-	-	-
#RecordIn	DAMAGED	ElfKnightSoul	10	0	-	-	-	-
#RecordIn	DEAD	ElfKnightSoul	10	0	-	-	-	-
#RecordIn	PIECE	RedStonie	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	RedStonie	10	0	-	-	-	-
#RecordIn	DAMAGED	RedStonie	10	0	-	-	-	-
#RecordIn	DEAD	RedStonie	10	0	-	-	-	-
#RecordIn	PIECE	BlueCloverTrumpy	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	BlueCloverTrumpy	10	0	-	-	-	-
#RecordIn	DAMAGED	BlueCloverTrumpy	10	0	-	-	-	-
#RecordIn	DEAD	BlueCloverTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	Navar	7800000	8800000	"Have you ever been a mercenary? Hah, it's not easy, eh?"	-	It hurts! This is hard to take... I'm almost dead.	Only strong men survive wars.
#RecordIn	ATTACK	Navar	10	0	If you defeat me I will let you go...	Ha! It's been a long time since we've had a proper battle.	What makes you so proud?	I have spotted you... there is no way to evade me now.
#RecordIn	DAMAGED	Navar	10	0	Are you even attacking?  I don't feel it!	Which mercenary team do you belong to?	I don't know why I waste my time with you..	You are weak... you attacks couldn't even kill a fly.
#RecordIn	DEAD	Navar	10	0	Yikes~!	It used to be peaceful here...a long time ago.	"Old soldiers never die, they just fade away...*poof*"	-
#RecordIn	HELPMAIN	Navar	800	800	I didn't expect you to be so strong... 	I must be getting old...I can't keep this up.	"Hey, come here and clean this up."	Someone help me... please!
#RecordIn	HELPSUB	Navar	800	800	-	-	-	-
#RecordIn	RACERESCUE	Navar	800	800	-	-	-	-
#RecordIn	PIECE	GiantSparkDog	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	GiantSparkDog	10	0	-	-	-	-
#RecordIn	DAMAGED	GiantSparkDog	10	0	-	-	-	-
#RecordIn	DEAD	GiantSparkDog	10	0	-	-	-	-
#RecordIn	PIECE	GiantPixy	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	GiantPixy	10	0	-	-	-	-
#RecordIn	DAMAGED	GiantPixy	10	0	-	-	-	-
#RecordIn	DEAD	GiantPixy	10	0	-	-	-	-
#RecordIn	PIECE	GoldJewelKeeper	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	GoldJewelKeeper	10	0	-	-	-	-
#RecordIn	DAMAGED	GoldJewelKeeper	10	0	-	-	-	-
#RecordIn	DEAD	GoldJewelKeeper	10	0	-	-	-	-
#RecordIn	PIECE	OrcCaptain	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	OrcCaptain	10	0	-	-	-	-
#RecordIn	DAMAGED	OrcCaptain	10	0	-	-	-	-
#RecordIn	DEAD	OrcCaptain	10	0	-	-	-	-
#RecordIn	PIECE	SpadeGuardTrumpy	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	SpadeGuardTrumpy	10	0	-	-	-	-
#RecordIn	DAMAGED	SpadeGuardTrumpy	10	0	-	-	-	-
#RecordIn	DEAD	SpadeGuardTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	NaiadDemon	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	NaiadDemon	10	0	-	-	-	-
#RecordIn	DAMAGED	NaiadDemon	10	0	-	-	-	-
#RecordIn	DEAD	NaiadDemon	10	0	-	-	-	-
#RecordIn	PIECE	NavarHenter	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	NavarHenter	10	0	-	-	-	-
#RecordIn	DAMAGED	NavarHenter	10	0	-	-	-	-
#RecordIn	DEAD	NavarHenter	10	0	-	-	-	-
#RecordIn	PIECE	GreedyLizardMan	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	GreedyLizardMan	10	0	-	-	-	-
#RecordIn	DAMAGED	GreedyLizardMan	10	0	-	-	-	-
#RecordIn	DEAD	GreedyLizardMan	10	0	-	-	-	-
#RecordIn	PIECE	Shylph	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	Shylph	10	0	-	-	-	-
#RecordIn	DAMAGED	Shylph	10	0	-	-	-	-
#RecordIn	DEAD	Shylph	10	0	-	-	-	-
#RecordIn	PIECE	NoxHunter	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	NoxHunter	10	0	-	-	-	-
#RecordIn	DAMAGED	NoxHunter	10	0	-	-	-	-
#RecordIn	DEAD	NoxHunter	10	0	-	-	-	-
#RecordIn	PIECE	OldArchon	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	OldArchon	10	0	Don't you have any respect for the elderly?	-	-	-
#RecordIn	DAMAGED	OldArchon	10	0	-	-	-	-
#RecordIn	DEAD	OldArchon	10	0	Can't believe I am getting beaten by a youngster!	-	-	-
#RecordIn	PIECE	DiaTrumpy	7800000	8800000	The world's most valuable treasure is a diamond.	-	-	-
#RecordIn	ATTACK	DiaTrumpy	10	0	I destroy anyone who gets in my way. I'll break you into pieces!	-	-	-
#RecordIn	DAMAGED	DiaTrumpy	10	0	What? My arrows aren't working!	-	-	-
#RecordIn	DEAD	DiaTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	RunningBas	7800000	8800000	You don't want to start anything with me. You'll regret it!	-	-	-
#RecordIn	ATTACK	RunningBas	10	0	Let's see if you can defeat me.	-	-	-
#RecordIn	DAMAGED	RunningBas	10	0	-	-	-	-
#RecordIn	DEAD	RunningBas	10	0	-	-	-	-
#RecordIn	PIECE	SpadeTrumpy	7800000	8800000	Let me introduce myself.  I am Spade...the gentleman among cards.	-	-	-
#RecordIn	ATTACK	SpadeTrumpy	10	0	-	-	-	-
#RecordIn	DAMAGED	SpadeTrumpy	10	0	-	-	-	-
#RecordIn	DEAD	SpadeTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	ElfKnightDemon	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	ElfKnightDemon	10	0	-	-	-	-
#RecordIn	DAMAGED	ElfKnightDemon	10	0	-	-	-	-
#RecordIn	DEAD	ElfKnightDemon	10	0	-	-	-	-
#RecordIn	PIECE	AncientStonie	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	AncientStonie	10	0	-	-	-	-
#RecordIn	DAMAGED	AncientStonie	10	0	"If you attack without a plan, your weapon will break."	-	-	-
#RecordIn	DEAD	AncientStonie	10	0	-	-	-	-
#RecordIn	PIECE	BlackIncubus	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	BlackIncubus	10	0	-	-	-	-
#RecordIn	DAMAGED	BlackIncubus	10	0	-	-	-	-
#RecordIn	DEAD	BlackIncubus	10	0	-	-	-	-
#RecordIn	PIECE	LizardManKnight	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	LizardManKnight	10	0	-	-	-	-
#RecordIn	DAMAGED	LizardManKnight	10	0	-	-	-	-
#RecordIn	DEAD	LizardManKnight	10	0	-	-	-	-
#RecordIn	PIECE	JokerTrumpy	7800000	8800000	Who's the man? I am! Hah!	-	-	-
#RecordIn	ATTACK	JokerTrumpy	10	0	Do you want to feel my power? No? There is no turning back now!!	-	-	-
#RecordIn	DAMAGED	JokerTrumpy	10	0	-	-	-	-
#RecordIn	DEAD	JokerTrumpy	10	0	-	-	-	-
#RecordIn	PIECE	D_Kebing	3400000	5400000	Why am I always guarding the entrance? Am I a gatekeeper?	"If you're alone, I suggest you return and help your people first."	-	-
#RecordIn	ATTACK	D_Kebing	10	0	"I'm not a normal Kebing, you can't evade me!"	-	-	-
#RecordIn	DAMAGED	D_Kebing	10	0	"If I were you, I would go back and level up. Hahaha!"	-	-	-
#RecordIn	DEAD	D_Kebing	10	0	What? Who taught you how to fight like that?	-	-	-
#RecordIn	PIECE	D_TombRaider	3400000	5400000	I'm bored. Wanna dig around here for buried treasure?	Hmm...should I go looking for treasure chests?	-	-
#RecordIn	ATTACK	D_TombRaider	10	0	"Don't touch anything here, it's all mine!"	-	-	-
#RecordIn	DAMAGED	D_TombRaider	10	0	"Hey hey, let's talk this out. We don't need to fight."	-	-	-
#RecordIn	DEAD	D_TombRaider	10	0	-	-	-	-
#RecordIn	PIECE	D_MageBook	3400000	5400000	Try and catch me...come on....	-	-	-
#RecordIn	ATTACK	D_MageBook	10	0	You're boring me. Is that all you can do? Weak!	-	-	-
#RecordIn	DAMAGED	D_MageBook	10	0	All your attacks are pathetic.	-	-	-
#RecordIn	DEAD	D_MageBook	10	0	Hold on.. I still have energy to fight!	-	-	-
#RecordIn	PIECE	D_MarloneArcher	3400000	5400000	It's a great honor to assist King Marlone!	-	-	-
#RecordIn	ATTACK	D_MarloneArcher	10	0	No one can escape my aim!	-	-	-
#RecordIn	DAMAGED	D_MarloneArcher	10	0	I'm a master archer!	-	-	-
#RecordIn	DEAD	D_MarloneArcher	10	0	-	-	-	-
#RecordIn	PIECE	D_MarloneMegaton	3400000	5400000	I wonder whats inside the box!	I'm hungry...there's never enough food around here!	-	-
#RecordIn	ATTACK	D_MarloneMegaton	10	0	"Hey, give me something to eat!"	-	-	-
#RecordIn	DAMAGED	D_MarloneMegaton	10	0	-	-	-	-
#RecordIn	DEAD	D_MarloneMegaton	10	0	"If I wasn't so hungry, you'd be a cinch."	-	-	-
#RecordIn	PIECE	D_MarloneFighter	3400000	5400000	Curiosity killed the cat.	-	-	-
#RecordIn	ATTACK	D_MarloneFighter	10	0	What are you here for?	-	-	-
#RecordIn	DAMAGED	D_MarloneFighter	10	0	Whoa! You're pretty strong!	-	-	-
#RecordIn	DEAD	D_MarloneFighter	10	0	I have brought shame to King Marlone!	-	-	-
#RecordIn	PIECE	D_kingMarlone	3400000	5400000	"Muhahaha, Don't be a chicken...come get me."	-	-	-
#RecordIn	ATTACK	D_kingMarlone	10	0	"Are you brave or merely foolish? Either way, you're in trouble!"	-	-	-
#RecordIn	DAMAGED	D_kingMarlone	10	0	Muhaha...don't you think you need more help!	-	-	-
#RecordIn	DEAD	D_kingMarlone	10	0	This is shameful!  I'm so embarrassed.	-	-	-
#RecordIn	PIECE	D_ArchMageBook	4400000	6400000	I like this cave more then I like shiny stones!	-	-	-
#RecordIn	ATTACK	D_ArchMageBook	10	0	"Hey, wow! Finally, food!"	-	-	-
#RecordIn	DAMAGED	D_ArchMageBook	10	0	"Heh, you're not that strong. Such a disappointment."	-	-	-
#RecordIn	DEAD	D_ArchMageBook	10	0	Good bye...	-	-	-
#RecordIn	PIECE	D_Spider	4400000	6400000	I felt like someone was watching me just now.. 	-	-	-
#RecordIn	ATTACK	D_Spider	10	0	Were you the one looking at me? How dare you disturb my peace!	-	-	-
#RecordIn	DAMAGED	D_Spider	10	0	How is this possible? My cobweb shield failed me!	-	-	-
#RecordIn	DEAD	D_Spider	10	0	I'm not gonna die alone like this. I'm taking you with me!...Kapow!!	-	-	-
#RecordIn	PIECE	D_FlyingStaff	4400000	6400000	-	-	-	-
#RecordIn	ATTACK	D_FlyingStaff	10	0	"You didn't come here alone, did you? No, you can't be that dumb."	-	-	-
#RecordIn	DAMAGED	D_FlyingStaff	10	0	You're worthless... you deserve to be laughed at!	-	-	-
#RecordIn	DEAD	D_FlyingStaff	10	0	Are you proud of this? Look at me! Are you proud?	-	-	-
#RecordIn	PIECE	D_Zombie	4400000	6400000	"Do you smell that? Humans..Come out, come out where ever you are!"	-	-	-
#RecordIn	ATTACK	D_Zombie	10	0	Don't be afraid...I will make you a Zombie too!  Come here...	-	-	-
#RecordIn	DAMAGED	D_Zombie	10	0	"Nice try, but I'm already dead! Fool, you will die!!"	-	-	-
#RecordIn	DEAD	D_Zombie	10	0	-	-	-	-
#RecordIn	PIECE	D_OldFox	4400000	6400000	-	-	-	-
#RecordIn	ATTACK	D_OldFox	10	0	I didn't know I could be so forceful...	-	-	-
#RecordIn	DAMAGED	D_OldFox	10	0	I'll make a tomb for you here...	-	-	-
#RecordIn	DEAD	D_OldFox	10	0	Watch your back. This place has many eyes.	-	-	-
#RecordIn	PIECE	D_Zombieking	4400000	6400000	-	-	-	-
#RecordIn	ATTACK	D_Zombieking	10	0	I can't let you leave now that you've seen me here.	-	-	-
#RecordIn	DAMAGED	D_Zombieking	10	0	How did you get this far with such a lack of skill?	-	-	-
#RecordIn	DEAD	D_Zombieking	10	0	-	-	-	-
#RecordIn	PIECE	D_BoneImp	5200000	7200000	How in the world did you get here? This place isn't easy to find!	-	-	-
#RecordIn	ATTACK	D_BoneImp	10	0	You must really want to see me if you've come all the way here...	-	-	-
#RecordIn	DAMAGED	D_BoneImp	10	0	I have no ill will towards you! Stop this senseless fighting!	-	-	-
#RecordIn	DEAD	D_BoneImp	10	0	Whoa...I'm going to tell the Giant Goblin about you.	-	-	-
#RecordIn	PIECE	D_Goblin	5200000	7200000	I think riding a cart on rails will be fun!	-	-	-
#RecordIn	ATTACK	D_Goblin	10	0	"Hey, I'll get in the cart...can you push me? I want to go fast!"	-	-	-
#RecordIn	DAMAGED	D_Goblin	10	0	Whoa...you are so violent!	-	-	-
#RecordIn	DEAD	D_Goblin	10	0	-	-	-	-
#RecordIn	PIECE	D_Prock	5200000	7200000	-	-	-	-
#RecordIn	ATTACK	D_Prock	10	0	You seem happy to see me!	-	-	-
#RecordIn	DAMAGED	D_Prock	10	0	I'm not the same Prock you knew.  You will learn to fear me!	-	-	-
#RecordIn	DEAD	D_Prock	10	0	-	-	-	-
#RecordIn	PIECE	D_GoblinSwordman	5200000	7200000	-	-	-	-
#RecordIn	ATTACK	D_GoblinSwordman	10	0	Where are you trying to go?	-	-	-
#RecordIn	DAMAGED	D_GoblinSwordman	10	0	You lack the skill to face off against the Giant Goblin King.	-	-	-
#RecordIn	DEAD	D_GoblinSwordman	10	0	-	-	-	-
#RecordIn	PIECE	D_WereBear	5200000	7200000	This place is so isolated!	-	-	-
#RecordIn	ATTACK	D_WereBear	10	0	I've been waiting for you...for a long time.	-	-	-
#RecordIn	DAMAGED	D_WereBear	10	0	"If you defeat me, I will tell you where the Giant Goblin is."	-	-	-
#RecordIn	DEAD	D_WereBear	10	0	"Oh no, I'm dying...well...the Giant Goblin King is just there!"	-	-	-
#RecordIn	PIECE	D_GoblinMage	5200000	7200000	"Hey, Goblins! Stop jumping around--the ground is shaking!"	-	-	-
#RecordIn	ATTACK	D_GoblinMage	10	0	You are between a rock and a hard place.	-	-	-
#RecordIn	DAMAGED	D_GoblinMage	10	0	What will you do with nowhere to run?	-	-	-
#RecordIn	DEAD	D_GoblinMage	10	0	-	-	-	-
#RecordIn	PIECE	D_GiantGobleKing	5200000	7200000	-	-	-	-
#RecordIn	ATTACK	D_GiantGobleKing	10	0	Everyone attack! Let's teach them a lesson they'll never forget!	-	-	-
#RecordIn	DAMAGED	D_GiantGobleKing	10	0	Try and run! You won't get far!	-	-	-
#RecordIn	DEAD	D_GiantGobleKing	10	0	"For now, I will let you go...let's set a time to face off again!"	-	-	-
#RecordIn	PIECE	D_Pinky	7800000	8800000	"Don't you think I'm pretty? My eyes, nose..."	-	-	-
#RecordIn	ATTACK	D_Pinky	10	0	"Oh, you came all this way to see me? How sweet!!"	-	-	-
#RecordIn	DAMAGED	D_Pinky	10	0	"Hey, stop! What are you doing?"	-	-	-
#RecordIn	DEAD	D_Pinky	10	0	-	-	-	-
#RecordIn	PIECE	D_Pixy	7800000	8800000	Have you ever wondered why this is called 'The Land of Trials?'	-	-	-
#RecordIn	ATTACK	D_Pixy	10	0	"So you're the troublemaker, eh?"	-	-	-
#RecordIn	DAMAGED	D_Pixy	10	0	-	-	-	-
#RecordIn	DEAD	D_Pixy	10	0	-	-	-	-
#RecordIn	PIECE	D_Greenky	7800000	8800000	There isn't even any grass here. How barren!	-	-	-
#RecordIn	ATTACK	D_Greenky	10	0	"I'm so bored... Oh, I know, I'll bite off your head for fun!"	-	-	-
#RecordIn	DAMAGED	D_Greenky	10	0	-	-	-	-
#RecordIn	DEAD	D_Greenky	10	0	-	-	-	-
#RecordIn	PIECE	D_Nox	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	D_Nox	10	0	No one can stand the wrath of my sword!	-	-	-
#RecordIn	DAMAGED	D_Nox	10	0	Hmm... this isn't as fun as I thought it would be. 	-	-	-
#RecordIn	DEAD	D_Nox	10	0	-	-	-	-
#RecordIn	PIECE	D_OrcCaptain	7800000	8800000	"Waiting around for others... sorry, it's just not my style."	-	-	-
#RecordIn	ATTACK	D_OrcCaptain	10	0	-	-	-	-
